,row_index,function_type,degree,depth,num_layers,width,layer_width,num_variables,erm_num_samples,num_training_epochs,num_iter,net_type,train_batch_size,learning_rate,train_loss_initial,val_loss_initial,train_loss_final,val_loss_final
0,27,parity,16,two,2,4d,64,32,16000,100,1600000,ReLUResNet,20,0.01,15874.997902452946,16272.444283783436,12978.299238294363,18958.292218208313
0,28,parity,16,half_d,8,half_d,8,32,16000,100,1600000,ReLUResNet,20,0.01,15896.699087321758,16184.196808040142,14904.842526197433,17065.27448105812
0,29,parity,16,half_d,8,d,16,32,16000,100,1600000,ReLUResNet,20,0.01,15855.584832429886,16241.852755069733,13388.682592630386,18539.329600691795
0,3,parity,8,two,2,4d,32,32,8000,100,800000,ReLUResNet,20,0.01,7911.830333352089,8119.000384986401,6513.160472899675,9513.618813812733
0,30,parity,16,half_d,8,2d,32,32,16000,100,1600000,ReLUResNet,20,0.01,15674.6318718791,16491.74801337719,7256.557188794017,26936.4567784369
0,31,parity,16,half_d,8,4d,64,32,16000,100,1600000,ReLUResNet,20,0.01,14834.017212867737,17354.16986423731,242.16705299867317,40260.95525473356
0,32,parity,16,d,16,half_d,8,32,16000,100,1600000,ReLUResNet,20,0.01,16098.814896285534,16616.81314021349,15346.591547727585,16618.234490692616
0,33,parity,16,d,16,d,16,32,16000,100,1600000,ReLUResNet,20,0.01,,,,
0,34,parity,16,d,16,2d,32,32,16000,100,1600000,ReLUResNet,20,0.01,,,,
0,35,parity,16,d,16,4d,64,32,16000,100,1600000,ReLUResNet,20,0.01,,,,
0,36,staircase,8,two,2,half_d,4,32,8000,100,800000,ReLUResNet,20,0.01,5599.19220136106,5605.770492091775,3531.8932295292616,3573.4554051607847
0,37,staircase,8,two,2,d,8,32,8000,100,800000,ReLUResNet,20,0.01,4776.073293209076,4838.45220208168,1043.1027880162,1088.417330155149
0,38,staircase,8,two,2,2d,16,32,8000,100,800000,ReLUResNet,20,0.01,5006.632928788662,4937.044287271798,585.8781734295189,665.0705288751051
0,39,staircase,8,two,2,4d,32,32,8000,100,800000,ReLUResNet,20,0.01,4466.630355022848,4675.698608875275,483.8963537327945,586.0543965129182
0,4,parity,8,half_d,4,half_d,4,32,8000,100,800000,ReLUResNet,20,0.01,7966.913125574589,8064.386684060097,7684.298532962799,8302.773480415344
0,40,staircase,8,half_d,4,half_d,4,32,8000,100,800000,ReLUResNet,20,0.01,4273.677995607257,4289.34506829828,1851.86268337816,1889.2644791305065
0,41,staircase,8,half_d,4,d,8,32,8000,100,800000,ReLUResNet,20,0.01,3492.2486035712063,3529.9788881093264,270.67681789863855,297.24185909936205
0,42,staircase,8,half_d,4,2d,16,32,8000,100,800000,ReLUResNet,20,0.01,3480.7327938713133,3474.919367466122,11.573174957971787,12.63276465566014
0,43,staircase,8,half_d,4,4d,32,32,8000,100,800000,ReLUResNet,20,0.01,3459.435307059437,3773.9517655298114,1.9243776482944668,3.0525564051931724
0,44,staircase,8,d,8,half_d,4,32,8000,100,800000,ReLUResNet,20,0.01,4221.823236748576,4225.55171187222,1498.0825204215944,1555.5380767267197
0,45,staircase,8,d,8,d,8,32,8000,100,800000,ReLUResNet,20,0.01,2485.4062637072057,2557.969170834869,50.23814307054272,61.195336513221264
0,46,staircase,8,d,8,2d,16,32,8000,100,800000,ReLUResNet,20,0.01,2622.269342435524,2679.380869255401,0.4860332744151492,0.5847360712477894
0,47,staircase,8,d,8,4d,32,32,8000,100,800000,ReLUResNet,20,0.01,2635.700372944586,2877.972821040079,0.19776681408393415,0.39440265684356746
0,48,staircase,12,two,2,half_d,6,32,12000,100,1200000,ReLUResNet,20,0.01,9014.006844103336,9214.640526399016,5250.568100124598,5517.34103821218
0,49,staircase,12,two,2,d,12,32,12000,100,1200000,ReLUResNet,20,0.01,8562.254986792803,8614.925315223634,4164.517505556345,4361.394765473902
0,5,parity,8,half_d,4,d,8,32,8000,100,800000,ReLUResNet,20,0.01,7952.469641923904,8068.179154515266,7347.675993204117,8630.866670012474
0,50,staircase,12,two,2,2d,24,32,12000,100,1200000,ReLUResNet,20,0.01,8605.897817276418,8837.056792497635,3563.380935192108,4069.663336083293
0,51,staircase,12,two,2,4d,48,32,12000,100,1200000,ReLUResNet,20,0.01,8290.341676414013,8775.266787797213,2929.9309089928865,4165.5626493394375
0,52,staircase,12,half_d,6,half_d,6,32,12000,100,1200000,ReLUResNet,20,0.01,7114.507965750992,7063.474331460893,3962.007345981896,4122.158159531653
0,53,staircase,12,half_d,6,d,12,32,12000,100,1200000,ReLUResNet,20,0.01,6695.027667567134,6753.243326112628,1091.7209549751133,1290.0723668094724
0,54,staircase,12,half_d,6,2d,24,32,12000,100,1200000,ReLUResNet,20,0.01,7271.184588342905,7618.565041258931,311.3172106258571,460.48509533982724
0,55,staircase,12,half_d,6,4d,48,32,12000,100,1200000,ReLUResNet,20,0.01,6868.619068466127,7732.557489693165,130.85714703029953,334.24710165383294
0,56,staircase,12,d,12,half_d,6,32,12000,100,1200000,ReLUResNet,20,0.01,7241.862997293472,7180.102653950453,2170.3630640767515,2274.664445273578
